target|text
출산111|엄마, 아빠를 쏙 빼 닮은 공주님의 탄생을 축하 드립니다.
출산111|엄마, 아빠를 쏙 빼 닮은 왕자님의 탄생을 축하 드립니다.
출산111|순산을 축하 드립니다. 열 달을 기다려 예쁘고 건강한 천사를 만난 기쁨을 어떻게 표현할 수 있을까요? 앞으로도 따님과 함께 행복한 가정 이루시길 바라겠습니다.
출산111|순산을 축하 드립니다. 열 달을 기다려 예쁘고 건강한 천사를 만난 기쁨을 어떻게 표현할 수 있을까요? 앞으로도 아드님과 함께 행복한 가정 이루시길 바라겠습니다.
출산111|천사 같은 아이가 세상에 태어났다는 소식을 들었습니다. 축하드리고 몸조리 잘 하셔서 건강한 모습으로 뵙기를 바라겠습니다.
출산111|두 분을 꼭 닮은 왕자님의 탄생을 축하 드립니다.
출산111|두 분을 꼭 닮은 공주님의 탄생을 축하 드립니다.
출산111|그 동안 학수고대한 왕자님과의 만남을 진심으로 축하 드리며. 앞으로도 새 생명과 함께 가정에 행복이 가득하기를 기원하겠습니다.
출산111|그 동안 학수고대한 공주님과의 만남을 진심으로 축하 드리며. 앞으로도 새 생명과 함께 가정에 행복이 가득하기를 기원하겠습니다.
출산111|든든한 왕자님의 부모님이 되셔서 진심으로 축하 드립니다. 앞으로 아이와 산모 모두 건강하시길 기원하겠습니다.
출산111|든든한 공주님의 부모님이 되셔서 진심으로 축하 드립니다. 앞으로 아이와 산모 모두 건강하시길 기원하겠습니다.
출산111|출산을 축하드립니다. 아기가 너무 예쁠 것 같네요
출산111|득남을 축하합니다. 몸조리 잘하시고 고생 많으셨습니다.
출산111|득녀를 축하합니다. 몸조리 잘하시고 고생 많으셨습니다.
출산111|출산을 축하 드립니다. 산모와 아이 모두 건강하기를 바랍니다. 
출산111|출산 축하 드립니다. 빨리 아기를 직접 만나보고 싶네요.
출산111|축하해요. 육아의 기쁨이 평생의 웃음과 행복을 가져다 줄 거예요.
출산111|귀엽고 건강한 아이 낳아서 고생 많았어. 더욱 행복하길 바라
출산111|10개월동안 정말 고생 많았어
출산111|10개월동안 정말 고생 많았어. 미역국 많이 먹으면서 몸조리 잘해.
출산111|10개월동안 정말 고생 많았어. 미역국이 산후조리에 좋대
출산111|사랑스러운 아이의 탄생과 산모의 건강을 진심으로 축하합니다.
출산111|출산 축하드립니다. 더욱 행복한 가정 생활 되시길 바랍니다.
출산111|아기의 탄생을 축하합니다! 더욱 행복하고 따뜻한 가족 되시기를 기원합니다.
출산111|축하해요! 새로운 가족 구성원을 환영하며 행복한 시간을 보내길 기대합니다.
출산111|아름다운 출생을 축하합니다! 아기와 함께하는 모든 순간이 특별하고 행복하길 기원합니다.
출산111|출산을 축하해요! 새로운 생명의 탄생으로 가족이 더욱 풍요롭고 행복해지길 기대합니다.
출산111|축하드려요! 새로운 부모로서 아름다운 출생을 환영하며 행복한 순간을 보내길 기원합니다.
출산111|출산을 축하합니다! 아기의 탄생으로 가족이 더욱 행복하고 이루어지길 기대합니다.
출산111|축하해요! 아기의 탄생으로 가족이 더욱 활기차고 행복한 시간을 보낼 수 있기를 기원합니다.
출산111|아기의 출생을 축하합니다! 이제부터 아름다운 가족이 함께하는 모든 순간을 즐기길 기대합니다.
출산111|출산을 축하해요! 아기와 함께하는 더욱 행복한 하루 되기를 기대합니다.
출산111|축하드려요! 아름다운 출생으로 새로운 가족이 더욱 행복하고 풍요로운 시간을 보낼 수 있기를 바랍니다.
출산111|출산 소식 들었어요. 고생 많으셨습니다.
출산111|그동안 고생 많으셨고 몸조리 잘하세요
출산111|예쁜 아이의 탄생을 축하드립니다.
출산111|아이와 함께 더욱 행복한 가정 이루시길 바라겠습니다.
출산111|새 생명과 함께 가정에 행복이 가득하기를 기원하겠습니다.
출산111|조만간 예쁜 아이 보러 찾아뵙겠습니다. 몸조리 잘하세요.
출산111|츌산을 진심으로 축하드립니다.
